['Date:20180105', 'Maturity:201802', 'Strike_price:9600', 'CallPut:call', 'close:1250']
['Date:20180105', 'Maturity:201802', 'Strike_price:9700', 'CallPut:call', 'close:1150']
['Date:20180105', 'Maturity:201802', 'Strike_price:9800', 'CallPut:call', 'close:1050']
['Date:20180105', 'Maturity:201802', 'Strike_price:9900', 'CallPut:call', 'close:950']
['Date:20180105', 'Maturity:201802', 'Strike_price:10000', 'CallPut:call', 'close:850']
['Date:20180105', 'Maturity:201802', 'Strike_price:10100', 'CallPut:call', 'close:755']
['Date:20180105', 'Maturity:201802', 'Strike_price:10200', 'CallPut:call', 'close:655']
['Date:20180105', 'Maturity:201802', 'Strike_price:10300', 'CallPut:call', 'close:565']
['Date:20180105', 'Maturity:201802', 'Strike_price:10400', 'CallPut:call', 'close:467']
['Date:20180105', 'Maturity:201802', 'Strike_price:10500', 'CallPut:call', 'close:387']
['Date:20180105', 'Maturity:201802', 'Strike_price:10600', 'CallPut:call', 'close:303']
['Date:20180105', 'Maturity:201802', 'Strike_price:10700', 'CallPut:call', 'close:228']
['Date:20180105', 'Maturity:201802', 'Strike_price:10800', 'CallPut:call', 'close:161']
['Date:20180105', 'Maturity:201802', 'Strike_price:10900', 'CallPut:call', 'close:108']
['Date:20180105', 'Maturity:201802', 'Strike_price:11000', 'CallPut:call', 'close:66']
['Date:20180105', 'Maturity:201802', 'Strike_price:11100', 'CallPut:call', 'close:37']
['Date:20180105', 'Maturity:201802', 'Strike_price:11200', 'CallPut:call', 'close:20.5']
['Date:20180105', 'Maturity:201802', 'Strike_price:11300', 'CallPut:call', 'close:10']
['Date:20180105', 'Maturity:201802', 'Strike_price:11400', 'CallPut:call', 'close:5.2']
['Date:20180105', 'Maturity:201802', 'Strike_price:11500', 'CallPut:call', 'close:2.8']
['Date:20180105', 'Maturity:201802', 'Strike_price:11600', 'CallPut:call', 'close:1.5']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:9900', 'CallPut:call', 'close:995']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10000', 'CallPut:call', 'close:895']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10100', 'CallPut:call', 'close:795']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10200', 'CallPut:call', 'close:695']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10300', 'CallPut:call', 'close:595']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10400', 'CallPut:call', 'close:496']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10450', 'CallPut:call', 'close:446']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10500', 'CallPut:call', 'close:396']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10550', 'CallPut:call', 'close:346']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10600', 'CallPut:call', 'close:296']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10650', 'CallPut:call', 'close:246']
['Date:20180108', 'Maturity:201801W2', 'Strike_price:10700', 'CallPut:call', 'close:196']
