['Date:20150108', 'Maturity:201501W2', 'Strike_price:8800', 'CallPut:call', 'close:462']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8850', 'CallPut:call', 'close:413']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8900', 'CallPut:call', 'close:363']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8950', 'CallPut:call', 'close:314']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9000', 'CallPut:call', 'close:267']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9050', 'CallPut:call', 'close:217']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9100', 'CallPut:call', 'close:169']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9150', 'CallPut:call', 'close:128']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9200', 'CallPut:call', 'close:92']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9250', 'CallPut:call', 'close:61']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9300', 'CallPut:call', 'close:36.5']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9350', 'CallPut:call', 'close:19']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9400', 'CallPut:call', 'close:8.2']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:9500', 'CallPut:call', 'close:1.3']
['Date:20150108', 'Maturity:201501', 'Strike_price:7200', 'CallPut:call', 'close:2050']
['Date:20150108', 'Maturity:201501', 'Strike_price:7300', 'CallPut:call', 'close:1950']
['Date:20150108', 'Maturity:201501', 'Strike_price:7400', 'CallPut:call', 'close:1850']
['Date:20150108', 'Maturity:201501', 'Strike_price:7500', 'CallPut:call', 'close:1750']
['Date:20150108', 'Maturity:201501', 'Strike_price:7600', 'CallPut:call', 'close:1650']
['Date:20150108', 'Maturity:201501', 'Strike_price:7700', 'CallPut:call', 'close:1550']
['Date:20150108', 'Maturity:201501', 'Strike_price:7800', 'CallPut:call', 'close:1450']
['Date:20150108', 'Maturity:201501', 'Strike_price:7900', 'CallPut:call', 'close:1350']
['Date:20150108', 'Maturity:201501', 'Strike_price:8000', 'CallPut:call', 'close:1250']
['Date:20150108', 'Maturity:201501', 'Strike_price:8100', 'CallPut:call', 'close:1150']
['Date:20150108', 'Maturity:201501', 'Strike_price:8200', 'CallPut:call', 'close:1050']
['Date:20150108', 'Maturity:201501', 'Strike_price:8300', 'CallPut:call', 'close:955']
