['time:1286208000000', 'tradeDate:1286208000000', 'open:8207', 'high:8214', 'low:8127', 'close:8192', 'volume:115261']
['time:1271347200000', 'tradeDate:1271347200000', 'open:8147', 'high:8155', 'low:8070', 'close:8102', 'volume:97706']
['time:1271174400000', 'tradeDate:1271174400000', 'open:8065', 'high:8114', 'low:8038', 'close:8112', 'volume:79410']
['time:1271260800000', 'tradeDate:1271260800000', 'open:8153', 'high:8196', 'low:8130', 'close:8158', 'volume:82591']
['time:1290960000000', 'tradeDate:1290960000000', 'open:8350', 'high:8395', 'low:8312', 'close:8382', 'volume:123857']
['time:1271606400000', 'tradeDate:1271606400000', 'open:8002', 'high:8033', 'low:7821', 'close:7822', 'volume:132915']
['time:1292342400000', 'tradeDate:1292342400000', 'open:8740', 'high:8747', 'low:8704', 'close:8726', 'volume:49981']
['time:1286467200000', 'tradeDate:1286467200000', 'open:8266', 'high:8300', 'low:8213', 'close:8214', 'volume:102711']
['time:1268928000000', 'tradeDate:1268928000000', 'open:7850', 'high:7884', 'low:7826', 'close:7867', 'volume:66434']
['time:1268841600000', 'tradeDate:1268841600000', 'open:7837', 'high:7922', 'low:7818', 'close:7850', 'volume:93097']
['time:1282838400000', 'tradeDate:1282838400000', 'open:7611', 'high:7676', 'low:7605', 'close:7659', 'volume:89168']
['time:1268582400000', 'tradeDate:1268582400000', 'open:7756', 'high:7758', 'low:7631', 'close:7655', 'volume:111429']
['time:1268755200000', 'tradeDate:1268755200000', 'open:7750', 'high:7844', 'low:7745', 'close:7842', 'volume:63598']
['time:1268668800000', 'tradeDate:1268668800000', 'open:7651', 'high:7707', 'low:7642', 'close:7703', 'volume:61394']
['time:1268236800000', 'tradeDate:1268236800000', 'open:7800', 'high:7808', 'low:7731', 'close:7757', 'volume:84883']
['time:1268150400000', 'tradeDate:1268150400000', 'open:7771', 'high:7792', 'low:7703', 'close:7769', 'volume:80818']
['time:1268323200000', 'tradeDate:1268323200000', 'open:7785', 'high:7788', 'low:7711', 'close:7754', 'volume:66469']
['time:1286294400000', 'tradeDate:1286294400000', 'open:8268', 'high:8293', 'low:8254', 'close:8273', 'volume:79300']
['time:1286380800000', 'tradeDate:1286380800000', 'open:8271', 'high:8282', 'low:8255', 'close:8272', 'volume:50519']
